 Title  $ ﻿Authors  $ reviewer4 $ (3,)
 "IEEE International Conference on Program Comprehension"  $ "[No author name available]"  $ reviewer4 $ (2,)
 "HTML5 Technologies for Effective Cross-Platform Interactive/Smart TV Advertising"  $ "Perakakis E., Ghinea G."  $ reviewer4 $ (1,)
 "Authentication and authorization considerations for a multi-tenant service"  $ "Heiland R., Koranda S., Marru S., Pierce M., Welch V."  $ reviewer4 $ (0,)
 "The new protein topology graph library web server"  $ "Schäfer T., Scheck A., Bruneß D., May P., Koch I."  $ reviewer4 $ (1,)
 "Connichiwa - A framework for cross-device web applications"  $ "Schreiner M., Rädle R., Jetter H.-C., Reiterer H."  $ reviewer4 $ (1,)
 "API usage pattern recommendation for software development"  $ "Niu H., Keivanloo I., Zou Y."  $ reviewer4 $ ()
 "Automated measurement of API usability: The API Concepts Framework"  $ "Scheller T., Kühn E."  $ reviewer4 $ ()
 "Mining multi-level API usage patterns"  $ "Saied M.A., Benomar O., Abdeen H., Sahraoui H."  $ reviewer4 $ ()
 "2015 IEEE 22nd International Conference on Software Analysis, Evolution, and Reengineering, SANER 2015 - Proceedings"  $ "[No author name available]"  $ reviewer4 $ (2,)
 "Analysis of large-scale networks using high performance technology (vkontakte case study)"  $ "Kinash N., Tikhomirov A., Trufanov A., Berestneva O., Boukhanovsky A., Ashurova Z."  $ reviewer4 $ (0,)
 "Eclipse API usage: the good and the bad"  $ "Businge J., Serebrenik A., van den Brand M.G.J."  $ reviewer4 $ (1,)
 "Cloud interoperability service architecture for education environments"  $ "Rizzardini R.H."  $ reviewer4 $ (0,)
 "Analysis of the PKCS#11 API using the maude-NPA tool"  $ "González-Burgueño A., Santiago S., Escobar S., Meadows C., Meseguer J."  $ reviewer4 $ (1,)
 "Usage contracts: Offering immediate feedback on violations of structural source-code regularities"  $ "Lozano A., Mens K., Kellens A."  $ reviewer4 $ (1,)
 "Sparse graph processing with soft-processors"  $ "Kapre N."  $ reviewer4 $ (0,)
 "REST-based SLA management for cloud applications"  $ "De Benedictis A., Rak M., Turtur M., Villano U."  $ reviewer4 $ (1,)
 "Attention, test code is low-quality!"  $ "Tang X."  $ reviewer4 $ (1,)
 "Comparison of POSIX threads, OpenMP and C++11 concurrency frameworks"  $ "Weiss J.M."  $ reviewer4 $ (1,)
 "MLab: A mobile language learning lab system for language learners"  $ "Alotaibi H.M., Alamer R.A., Al-Khalifa H.S."  $ reviewer4 $ (1,)
 "SocAware: A middleware for social applications in online social networks"  $ "Chen L., Chen K., Shao C., Zhu P."  $ reviewer4 $ (0,)
 "Run-time extensibility and librarization of simulation software"  $ "Brown J., Knepley M.G., Smith B.F."  $ reviewer4 $ (1,)
 "Web-based platform for evaluation of RF-based indoor localization algorithms"  $ "Lemic F., Handziski V., Wirström N., Van Haute T., De Poorter E., Voigt T., Wolisz A."  $ reviewer4 $ (0,)
 "Programming interfaces for the TPM"  $ "Toegl R., Winter J., Gissing M., Winkler T., Nauman M., Hong T.W."  $ reviewer4 $ (1,)
 "CEUR Workshop Proceedings"  $ "[No author name available]"  $ reviewer4 $ (2,)
 "ICyrus: A semantic framework for biomedical image discovery"  $ "Bukhari A.C., Nagy M.L., Krauthammer M., Ciccarese P., Baker C.J.O."  $ reviewer4 $ (1,)
 "Practical interruptible conversations: distributed dynamic verification with multiparty session types and Python"  $ "Demangeon R., Honda K., Hu R., Neykova R., Yoshida N."  $ reviewer4 $ (0,)
 "Mining preconditions of APIs in large-scale code corpus"  $ "Nguyen H.A., Dyer R., Nguyen T.N., Rajan H."  $ reviewer4 $ ()
 "TS4J: A fluent interface for defining and computing typestate analyses"  $ "Bodden E."  $ reviewer4 $ (0,)
 "Mining API usage patterns by applying method categorization to improve code completion"  $ "Akbar R.J., Omori T., Maruyama K."  $ reviewer4 $ ()
 "API document quality for resolving deprecated APIs"  $ "Ko D., Ma K., Park S., Kim S., Kim D., Traon Y.L."  $ reviewer4 $ (1,)
 "The timeline as a programming interface"  $ "Cardoso B., Romão T."  $ reviewer4 $ (0,)
 "Towards a visualized code recommendation for APIs enriched with specification mining"  $ "Ghafari M., Heydarnoori A."  $ reviewer4 $ (2,)
 "An empirical comparison of static and dynamic type systems on API usage in the presence of an IDE: Java vs. Groovy with eclipse"  $ "Petersen P., Hanenberg S., Robbes R."  $ reviewer4 $ ()
 "Extracting code examples from unit test cases"  $ "Ghafari M."  $ reviewer4 $ (1,)
 "Who asked what: Integrating crowdsourced FAQs into API documentation"  $ "Chen C., Zhang K."  $ reviewer4 $ (1,)
 "Steps towards web ubiquitous computing"  $ "Pandit M.R., Bhardwaj T., Khatri V."  $ reviewer4 $ (0,)
 "The impact of different multi-threading interfaces on embedded systems"  $ "Lorenzon A.F., Filho A.C.S.B., Cera M.C."  $ reviewer4 $ (1,)
 "Hypersonic: Model analysis and checking in the cloud"  $ "Acretoaie V., Störrle H."  $ reviewer4 $ (1,)
 "Building development tools interactively using the EKEKO meta-programming library"  $ "De Roover C., Stevens R."  $ reviewer4 $ (1,)
 "Investigating the accuracy of the openFDA API using the FDA Adverse Event Reporting System (FAERS)"  $ "Shin J."  $ reviewer4 $ (0,)
 "Fast splittable pseudorandom number generators"  $ "Steele G.L., Jr., Lea D., Flood C.H."  $ reviewer4 $ (0,)
 "Fast splittable pseudorandom number generators"  $ "Steele G.L., Jr., Lea D., Flood C.H."  $ reviewer4 $ (0,)
 "A human-centric API for programming socially interactive robots"  $ "Diprose J.P., Plimmer B., Macdonald B.A., Hosking J.G."  $ reviewer4 $ (1,)
 "Keeping your API keys in a safe"  $ "Lu H.K."  $ reviewer4 $ (1,)
 "Shapers: Capturing free form shapes for bendable device interactions"  $ "Nagaraju S."  $ reviewer4 $ (0,)
 "RemindMe: An enhanced mobile location-based reminder application"  $ "Ertugrul A.M., Onal I."  $ reviewer4 $ (1,)
 "Loop parallelism: A new skeleton perspective on data parallel patterns"  $ "Danelutto M., Torquati M."  $ reviewer4 $ (0,)
 "OFF, Open source Finite volume Fluid dynamics code: A free, high-order solver based on parallel, modular, object-oriented Fortran API"  $ "Zaghi S."  $ reviewer4 $ (0,)
 "Bus search: Development and evaluation of performance and usability of mobile application for blind or visually impaired"  $ "Viyanon W."  $ reviewer4 $ (0,)
 "Type names without static type checking already improve the usability of APIs (As Long as the Type Names are Correct): An Empirical Study"  $ "Spiza S., Hanenberg S."  $ reviewer4 $ (1,)
 "CloudSylla: Detecting suspicious system calls in the cloud"  $ "Kührer M., Hoffmann J., Holz T."  $ reviewer4 $ (0,)
 "TRACER: A platform for securing legacy code"  $ "Stroggylos K., Mitropoulos D., Tzermias Z., Papadopoulos P., Rafailidis F., Spinellis D., Ioannidis S., Katsaros P."  $ reviewer4 $ (0,)
 "A plug-in architecture for connecting to new data sources on mobile devices"  $ "Chang K.S.-P., Myers B.A., Cahill G.M., Simanta S., Morris E., Lewis G."  $ reviewer4 $ (0,)
 "Mining succinct and high-coverage API usage patterns from source code"  $ "Wang J., Dang Y., Zhang H., Chen K., Xie T., Zhang D."  $ reviewer4 $ (4,)
 "2013 10th Working Conference on Mining Software Repositories, MSR 2013 - Proceedings"  $ "[No author name available]"  $ reviewer4 $ (2,)
 "An empirical study of API usability"  $ "Piccioni M., Furia C.A., Meyer B."  $ reviewer4 $ ()
 "An empirical study of API stability and adoption in the android ecosystem"  $ "McDonnell T., Ray B., Kim M."  $ reviewer4 $ (1,)
 "Evaluation of a programming toolkit for interactive public display applications"  $ "Cardoso J.C.S., José R."  $ reviewer4 $ (1,)
 "A step towards a robotic system with smartphone working as its brain: An assistive technology"  $ "Sankhe P., Kuriakose S., Lahiri U."  $ reviewer4 $ (0,)
 "A first view of exedra: A domain-specific language for large graph analytics workflows"  $ "Dayarathna M., Suzumura T."  $ reviewer4 $ (0,)
 "OmpSs-OpenCL programming model for heterogeneous systems"  $ "Elangovan V.K., Badia R.M., Parra E.A."  $ reviewer4 $ (0,)
 "Multi-dimensional exploration of API usage"  $ "De Roover C., Lammel R., Pek E."  $ reviewer4 $ ()
 "Model-checking software library API usage rules"  $ "Song F., Touili T."  $ reviewer4 $ (4,)
 "How do developers use APIs? A case study in concurrency"  $ "Blom S., Kiniry J., Huisman M."  $ reviewer4 $ ()
 "API change and fault proneness: A threat to the success of android apps"  $ "Linares-Vásquez M., Bavota G., Bernal-Cárdenas C., Di Penta M., Oliveto R., Poshyvanyk D."  $ reviewer4 $ (1,)
 "A novel integrated framework to increase software quality by mining source code"  $ "Khatoon S., Mahmood A., Li G., Xu J."  $ reviewer4 $ (4,)
 "Detection of malicious code in user mode"  $ "Sangeetha R."  $ reviewer4 $ (0,)
 "Java multi-histogram volume rendering framework for medical images"  $ "Senseney J., Bokinsky A., Cheng R., McCreedy E., McAuliffe M.J."  $ reviewer4 $ (0,)
 "Juggle: Addressing extrinsic load imbalances in SPMD applications on multicore computers"  $ "Hofmeyr S., Colmenares J.A., Iancu C., Kubiatowicz J."  $ reviewer4 $ (0,)
 "Automated API property inference techniques"  $ "Robillard M.P., Bodden E., Kawrykow D., Mezini M., Ratchford T."  $ reviewer4 $ (1,)
 "Towards a high-level trusted computing API for android software stack"  $ "Othman A.T., Khan S., Nauman M., Musa S."  $ reviewer4 $ (1,)
 "Recommending energy tariffs and load shifting based on smart household usage profiling"  $ "Fischer J.E., Ramchurn S.D., Osborne M.A., Parson O., Huynh T.D., Alam M., Pantidi N., Moran S., Bachour K., Reece S., Costanza E., Rodden T., Jennings N.R."  $ reviewer4 $ (0,)
 "AUREA: An open-source software system for accurate and user-friendly identification of relative expression molecular signatures"  $ "Earls J.C., Eddy J.A., Funk C.C., Ko Y., Magis A.T., Price N.D."  $ reviewer4 $ (0,)
 "IEEE 13th International Working Conference on Source Code Analysis and Manipulation, SCAM 2013"  $ "[No author name available]"  $ reviewer4 $ (2,)
 "The Semantic Web takes wing: Programming ontologies with Tawny-OWL"  $ "Lord P."  $ reviewer4 $ (0,)
 "WYSIWIB: Exploiting fine-grained program structure in a scriptable API-usage protocol-finding process"  $ "Lawall J.L., Brunel J., Palix N., Hansen R.R., Stuart H., Muller G."  $ reviewer4 $ (0,)
 "Knowledge discovery meets linked APIs"  $ "Hoxha J., Maleshkova M., Korevaar P."  $ reviewer4 $ (1,)
 "Improving the usability of OCL as an ad-hoc model querying language"  $ "Störrle H."  $ reviewer4 $ (0,)
 "Design and implementation of surrounding transaction plotting and management system based on Google map API"  $ "Cao Y., Hua Y., Zhao J., Guo S."  $ reviewer4 $ (0,)
 "A framework for extending usability engineering: API usability essentials: Extending usability via component-based platform"  $ "Munir M.B., Mushtaq A."  $ reviewer4 $ ()
 "Detecting similar applications with collaborative tagging"  $ "Thung F., Lo D., Jiang L."  $ reviewer4 $ (0,)
 "Recommending APIs for mashup completion using association rules mined from real usage data"  $ "Tapia B., Torres R., Astudillo H., Ortega P."  $ reviewer4 $ (1,)
 "Lightweight automated testing with adaptation-based programming"  $ "Groce A., Fern A., Pinto J., Bauer T., Alipour A., Erwig M., Lopez C."  $ reviewer4 $ (1,)
 "PPModel: A modeling tool for source code maintenance and optimization of parallel programs"  $ "Jacob F., Gray J., Carver J.C., Mernik M., Bangalore P."  $ reviewer4 $ (0,)
 "Experiences with OpenMP, PGI, HMPP and OpenACC directives on ISO/TTI kernels"  $ "Ghosh S., Liao T., Calandra H., Chapman B.M."  $ reviewer4 $ (0,)
 "Customized mashups for improved reputation visualization"  $ "Spycher N., Portmann E."  $ reviewer4 $ (0,)
 "Comparing the usability of grid-bag and constraint-based layouts"  $ "Zeidler C., Müller J., Lutteroth C., Weber G."  $ reviewer4 $ (1,)
 "Typestate-based semantic code search over partial programs"  $ "Mishne A., Shoham S., Yahav E."  $ reviewer4 $ (4,)
 "An empirical study of the influence of static type systems on the usability of undocumented software"  $ "Mayer C., Hanenberg S., Robbes R., Tanter É., Stefik A."  $ reviewer4 $ ()
 "Towards high performance and usability programming model for heterogeneous HPC platforms"  $ "Lee M., Jo H., Choi D.H."  $ reviewer4 $ (0,)
 "Empirical study of a vision-based depth-sensitive human-computer interaction system"  $ "Farhadi-Niaki F., GhasemAghaei R., Arya A."  $ reviewer4 $ (0,)
 "Towards high performance and usability programming methodology for heterogeneous HPC architectures"  $ "Lee M., Jo H., Choi D.H."  $ reviewer4 $ (0,)
 "An empirical study of the influence of static type systems on the usability of undocumented software"  $ "Mayer C., Hanenberg S., Robbes R., Tanter E., Stefik A."  $ reviewer4 $ ()
 "CriticAL: A critic for APIs and libraries"  $ "Rupakheti C.R., Hou D."  $ reviewer4 $ ()
 "Programming parallel embedded and consumer applications in OpenMP superscalar"  $ "Andersch M., Chi C.C., Juurlink B."  $ reviewer4 $ (1,)
 "GraPacc: A graph-based pattern-oriented, context-sensitive code completion tool"  $ "Nguyen A.T., Nguyen H.A., Nguyen T.T., Nguyen T.N."  $ reviewer4 $ (1,)
 "Automatic parameter recommendation for practical API usage"  $ "Zhang C., Yang J., Zhang Y., Fan J., Zhang X., Zhao J., Ou P."  $ reviewer4 $ ()
 "Adaptable swarm intelligence framework"  $ "Cuibus M., Potolea R."  $ reviewer4 $ (0,)
 "Constroid: Data-centric access control for android"  $ "Schreckling D., Posegga J., Hausknecht D."  $ reviewer4 $ (0,)
 "Using compiler directives for accelerating CFD applications on GPUs"  $ "Jin H., Kellogg M., Mehrotra P."  $ reviewer4 $ (0,)
 "Enabling parallel computing of a brain connectivity map using the MediGRID-infrastructure and FSL"  $ "Gruetz R., Focke N.K., Hoheisel A., Krefting D., Loehnhardt B., Viezens F., Dickmann F."  $ reviewer4 $ (0,)
 "Influencing factors on the usability of API classes and methods"  $ "Scheller T., Kuhn E."  $ reviewer4 $ ()
 "Understanding API usage to support informed decision making in software maintenance"  $ "Bauer V., Heinemann L."  $ reviewer4 $ (1,)
 "Kokkos Array performance-portable manycore programming model"  $ "Edwards H.C., Sunderland D."  $ reviewer4 $ (0,)
 "Programming parallel embedded and consumer applications in openmp superscalar"  $ "Andersch M., Chi C.C., Juurlink B."  $ reviewer4 $ (0,)
 "4th International Conference on Human-Centered Software Engineering, HCSE 2016"  $ "[No author name available]"  $ reviewer4 $ (2,)
 "An exploratory study of API usage examples on the web"  $ "Wang L., Zou Y., Fang L., Xie B., Yang F."  $ reviewer4 $ ()
 "Wikipedia miner engine: A re-usable e-learning service based on a virtual MVC design pattern"  $ "Cortez R., Vazhenin A., Brine J."  $ reviewer4 $ (0,)
 "GRB-WAPI, a RESTful framework for grid portals"  $ "De Luca V., Epicoco I., Lezzi D., Aloisio G."  $ reviewer4 $ (0,)
 "A Framework for automatically mining source code"  $ "Khatoon S., Li G., Ashfaq R.M."  $ reviewer4 $ (1,)
 "Useful, but usable? Factors affecting the usability of APIs"  $ "Zibran M.F., Eishita F.Z., Roy C.K."  $ reviewer4 $ ()
 "The role of conceptual knowledge in API usability"  $ "Ko A.J., Riche Y."  $ reviewer4 $ ()
 "Analyzing temporal API usage patterns"  $ "Uddin G., Dagenais B., Robillard M.P."  $ reviewer4 $ ()
 "Inferring specifications for resources from natural language API documentation"  $ "Zhong H., Zhang L., Xie T., Mei H."  $ reviewer4 $ (1,)
 "APIExample: An effective web search based usage example recommendation system for java APIs"  $ "Wang L., Fang L., Wang L., Li G., Xie B., Yang F."  $ reviewer4 $ ()
 "A multilingual chat system with image presentation for detecting mistranslation"  $ "Hosogai E., Mukai T., Jung S., Kowase Y., Bossard A., Xu Y., Ishikawa M., Kaneko K."  $ reviewer4 $ (0,)
 "An empirical comparison of the accuracy rates of novices using the quorum, perl, and randomo programming languages"  $ "Stefik A., Siebert S., Stefik M., Slattery K."  $ reviewer4 $ (1,)
 "OpenID authentication as a service in OpenStack"  $ "Khan R.H., Ylitalo J., Ahmed A.S."  $ reviewer4 $ (0,)
 "Comparison of reasoners for large ontologies in the OWL 2 EL profile"  $ "Dentler K., Cornet R., Ten Teije A., De Keizer N."  $ reviewer4 $ (0,)
 "Developer-friendly annotation-based HTML-to-XML transformation technology"  $ "Tseng L.C.-H."  $ reviewer4 $ (0,)
 "Semantically driven social data aggregation interfaces for research 2.0"  $ "De Vocht L., Softic S., Ebner M., Mühlburger H."  $ reviewer4 $ (0,)
 "A secure field programmable gate array based System-on-Chip for Telemedicine application"  $ "Thamrin N.M., Ahmad I., Hani M.K."  $ reviewer4 $ (0,)
 "Obstacles in using frameworks and APIs: An exploratory study of programmers' newsgroup discussions"  $ "Hou D., Li L."  $ reviewer4 $ ()
 "Bio-CAD reverse engineering of free-form surfaces by planar contours"  $ "Ameddah H., Assas M."  $ reviewer4 $ (0,)
 "Toward a cloud architecture for medical imagery grid applications: The Acigna-G project"  $ "Benmerar T.Z., Boumghar F.O."  $ reviewer4 $ (0,)
 "Large-scale, AST-based API-usage analysis of open-source Java projects"  $ "Lämmel R., Pek E., Starek J."  $ reviewer4 $ (4,)
 "A web API framework for developing grid portals"  $ "De Luca V., Epicoco I., Lezzi D., Aloisio G."  $ reviewer4 $ (0,)
 "Information flow enforcement in monadic libraries"  $ "Devriese D., Piessens F."  $ reviewer4 $ (1,)
 "Frameworks for multi-core architectures: A comprehensive evaluation using 2D/3D image registration"  $ "Membarth R., Hannig F., Teich J., Körner M., Eckert W."  $ reviewer4 $ (1,)
 "A graph-based approach to API usage adaptation"  $ "Nguyen H.A., Nguyen T.T., Wilson Jr. G., Nguyen A.T., Kim M., Nguyen T.N."  $ reviewer4 $ ()
 "Unit tests as API usage examples"  $ "Nasehi S.M., Maurer F."  $ reviewer4 $ ()
 "CoDocent: Support API usage with code example and API documentation"  $ "Wu Y.-C., Mar L.W., Jiau H.C."  $ reviewer4 $ ()
 "Leveraging usage similarity for effective retrieval of examples in code repositories"  $ "Bajracharya S.K., Ossher J., Lopes C.V."  $ reviewer4 $ ()
 "The API walkthrough method: A lightweight method for getting early feedback about an API"  $ "O'Callaghan P."  $ reviewer4 $ ()
 "Jury API: Secure client-side-only multiplayer gaming API"  $ "Zibin Y."  $ reviewer4 $ (1,)
 "Process centric guidance and tools for next generation network services API design"  $ "Ramkumar S., Kumar S., Shiroor R."  $ reviewer4 $ (4,)
 "Evaluation and Usability of Programming Languages and Tools, PLATEAU'10"  $ "[No author name available]"  $ reviewer4 $ (2,)
 "Remote medical treatment at home using the Java Mobile Sensor API"  $ "Maaser M., Ortmann S."  $ reviewer4 $ (0,)
 "Functional programming at Freebase"  $ "Harris W."  $ reviewer4 $ (0,)
 "What is the price of simplicity? A cross-platform evaluation of the SAGA API"  $ "Den Burger M., Jacobs C., Kielmann T., Merzky A., Weidner O., Kaiser H."  $ reviewer4 $ (0,)
 "Mining API popularity"  $ "Mileva Y.M., Dallmeier V., Zeller A."  $ reviewer4 $ (1,)
 "Mining source codes to guide software development"  $ "Hsu S.-K., Lin S.-J."  $ reviewer4 $ (4,)
 "Using geodata and geoprocessing web services in embedded device"  $ "Zhang D.-H., Xie B., Chen H.-J., Lv Y., Yu L."  $ reviewer4 $ (0,)
 "Searching API usage examples in code repositories with sourcerer API search"  $ "Bajracharya S., Ossher J., Lopes C."  $ reviewer4 $ (1,)
 "Extended authorization mechanism in OSGi"  $ "Kim I., Lee D., Lee J., Rim K."  $ reviewer4 $ (0,)
 "Apatite: A new interface for exploring APIs"  $ "Eisenberg D.S., Stylos J., Myers B.A."  $ reviewer4 $ (4,)
 "G2CL: A generic group communication layer for clustered applications"  $ "Sales L., Teófilo H., Mendonça N.C."  $ reviewer4 $ (0,)
 "Using AOP to ensure component interactions in component-based software"  $ "Zhou J., Ji Y., Zhao D., Liu J."  $ reviewer4 $ (0,)
 "Generating smart wrapper libraries for arbitrary APIs"  $ "Jugel U."  $ reviewer4 $ (1,)
 "API peer reviews: A method for evaluating usability of application programming interfaces"  $ "Farooq U., Zirkler D."  $ reviewer4 $ ()
 "Development of APIs for desktop supercomputing"  $ "Kim G., Suzuki Y., Nishida A., Takemiya H."  $ reviewer4 $ (1,)
 "Dynamically inferring, refining, and checking API usage protocols"  $ "Pradel M."  $ reviewer4 $ ()
 "BCC: Enhancing code completion for better API usability"  $ "Pletcher D.M., Hou D."  $ reviewer4 $ (1,)
 "Mining quantified temporal rules: Formalism, algorithms, and evaluation"  $ "Lo D., Ramalingam G., Ranganath V.P., Vaswani K."  $ reviewer4 $ (1,)
 "Implementation of open web portal service enabler based on service delivery platform"  $ "Kim K., Lee H., Jo S., Ryu W."  $ reviewer4 $ (0,)
 "Improving API documentation using API usage information"  $ "Stylos J., Faulring A., Yang Z., Myers B.A."  $ reviewer4 $ ()
 "Graph-based mining of multiple object usage patterns"  $ "Nguyen T.T., Nguyen H.A., Pham N.H., Al-Kofahi J.M., Nguyen T.N."  $ reviewer4 $ ()
 "APIs à gogo: Automatic generation of ontology APIs"  $ "Parreiras F.S., Saathoff C., Walter T., Franz T., Staab S."  $ reviewer4 $ (1,)
 "A robotics API dialect for type-safe robots: Translating Myro to Ada"  $ "Mentis A.S."  $ reviewer4 $ (0,)
 "Improving API documentation usability with knowledge pushing"  $ "Dekel U., Herbsleb J.D."  $ reviewer4 $ ()
 "The music and emotion driven game engine: Ideas and games"  $ "Dillon R., Bee N.K., Rozner S."  $ reviewer4 $ (0,)
 "Safer typing of complex API usage through java generics"  $ "Harrison W., Lievens D., Simeoni F."  $ reviewer4 $ (4,)
 "Refactoring asynchronous event handling in the real-time specification for Java"  $ "Kim M.S., Wellings A."  $ reviewer4 $ (0,)
 "Evaluating groupware accessibility"  $ "Schoeberlein J.G., Wang Y."  $ reviewer4 $ (0,)
 "Detecting inefficient API usage"  $ "Kawrykow D., Robillard M.P."  $ reviewer4 $ ()
 "API usability: CHI'2009 special interest group meeting"  $ "Daughtry J.M., Farooq U., Stylos J., Myers B.A."  $ reviewer4 $ ()
 "MAPO: mining and recommending api usage patterns"  $ "Zhong H., Xie T., Zhang L., Pei J., Mei H."  $ reviewer4 $ (4,)
 "Improving documentation for eSOA APIs through user studies"  $ "Jeong S.Y., Xie Y., Beaton J., Myers B.A., Stylos J., Ehret R., Karstens J., Efeoglu A., Busse D.K."  $ reviewer4 $ ()
 "A script generator API for the full-scale three-dimensional vibration simulation of an entire nuclear power plant within AEGIS"  $ "Kim G., Suzuki Y., Teshima N., Nishida A., Yamada T., Araya F., Takemiya H., Nakajima N., Kondo M."  $ reviewer4 $ (1,)
 "Freebase: A collaboratively created graph database for structuring human knowledge"  $ "Bollacker K., Evans C., Paritosh P., Sturge T., Taylor J."  $ reviewer4 $ (0,)
 "Usability evaluation for Enterprise SOA APIs"  $ "Beaton J., Myers B.A., Stylos J., Jeong S.Y., Xie Y."  $ reviewer4 $ (1,)
